x,y,pen
1229,1077,2
1287,1077,1
1300,1077,1
1315,1077,1
1322,1077,2
1330,1077,2
1334,1077,2
1344,1077,2
1360,1077,1
1367,1076,2
1377,1076,2
1391,1076,1
1402,1076,1
1418,1076,1
1426,1076,2
1440,1076,1
1461,1076,1
1468,1076,2
1481,1076,1
