theta_or_power
24
28
33
39
46
50
50
50
50
50
50
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
24
20
20
24
28
33
39
46
50
50
50
50
50
50
20
20
20
20
20
20
20
20
20
20
20
20
20
20
24
28
33
39
46
50
50
50
50
50
20
20
20
20
20
20
20
20
20
20
24
28
33
39
46
50
50
50
50
20
20
20
20
20
20
20
20
20
20
20
20
20
20
