x,y
771,277
774,277

781,283
785,284
781,284

789,287
815,277
850,234
891,220
969,239
1019,221
1055,228
1143,298
1198,387
1236,404
1243,566
1271,676
1253,805
1236,835
1202,846
1175,810
1128,799
1101,816
1096,839
1071,819
1071,789
1051,766
1051,742
1065,733
1055,710
1111,656
1132,614
1143,476
1126,401
1088,330
1045,296
1005,283
953,280
889,311
848,365
817,437
795,545
830,644
860,682
855,718
874,731
855,752
878,766
863,777
868,812
857,810
853,822
837,814
815,752
751,808
682,777
680,741
705,703
690,662
703,650
715,566
734,549
731,487
770,371
806,323
789,288

834,407
844,394
864,384
898,383
931,388
935,408
898,396
869,395
837,409
833,408

858,433
871,425
896,424
916,431
928,444

931,465
908,475
892,478
868,479
855,476

860,453
878,460
897,460
924,455
921,450
892,439
864,450

852,442
853,440

854,439
855,437

856,436
857,434

953,461
953,476
943,495
922,515

921,516
919,520

918,521
916,539
920,546
933,543
941,546
946,552

972,548
972,546

973,545

973,544
982,542
993,546

988,552
1014,548
1019,539
1004,506

1008,468
1032,478
1051,482
1075,483
1088,480

1084,458
1068,464
1046,465
1016,458

1017,457
1051,444
1080,455

1091,447
1085,438
1075,432
1051,429
1030,434
1012,448

1009,396
1004,414
1044,403
1074,403
1094,410
1107,424
1114,420
1102,402
1080,392
1041,391
1010,395

1038,545
1068,578
1060,602

1039,603
1004,625
970,631
944,630
929,626
896,607

895,606
912,595
941,584
961,588
986,584
1026,596
1038,603
901,606

880,602
873,576

874,575
900,545

824,611
837,642
861,671
891,696
934,717
964,721
1003,718
1026,711
1071,684

1268,823
1348,854
1381,894
1416,912
1495,938
1503,934
1507,971

751,811
749,811

661,773
624,779
589,771
580,788
539,807
472,819

471,820
469,821

468,822
466,823

465,824
463,825

462,826
460,827

459,828
457,829

456,830
454,831

453,832
451,833

450,834
448,835

447,836
445,837

444,838
442,839

441,840
439,841

438,842
390,895
337,971

591,761
596,759
596,763
593,762

