x,y,pen
1211,519,2
1211,520,2
1210,521,2
1210,522,2
1210,523,2
1210,524,2
1210,525,2
1210,526,2
1209,527,2
1301,528,2
1301,529,2
1301,530,2
1301,531,2
1301,532,2
1301,533,2
1301,534,2
1301,535,2
1301,536,2
651,538,2
651,539,2
650,540,2
649,541,2
648,542,2
648,543,2
647,544,2
646,545,2
646,546,2
645,547,2
804,548,2
804,549,2
804,550,2
804,551,2
804,552,2
804,553,2
804,554,2
804,555,2
804,556,2
1205,557,2
1204,558,2
1204,559,2
1204,560,2
1204,561,2
1204,562,2
1204,563,2
1203,564,2
1203,565,2
1203,566,2
1304,567,2
1305,568,2
1305,569,2
1306,570,2
1307,571,2
1307,572,2
1308,573,2
1308,574,2
1309,575,2
636,577,2
636,578,2
635,579,2
635,580,2
635,581,2
635,582,2
635,583,2
635,584,2
635,585,2
635,586,2
808,587,2
808,588,2
808,589,2
809,590,2
809,591,2
810,592,2
810,593,2
810,594,2
811,595,2
1198,596,2
1198,597,2
1198,598,2
1198,599,2
1197,600,2
1197,601,2
1196,602,2
1196,603,2
1196,604,2
1195,605,2
1329,606,2
1330,607,2
1330,608,2
1194,609,2
819,610,2
818,611,2
635,612,2
1333,612,2
1192,613,2
1192,614,2
821,615,2
820,616,2
634,617,2
1334,617,2
1190,618,2
824,619,2
821,620,2
634,621,2
1333,621,2
1333,622,2
1188,623,2
826,624,2
823,625,2
634,626,2
1332,626,2
1186,627,2
827,628,2
825,629,2
825,630,2
634,631,2
1331,631,2
1184,632,2
828,633,2
828,634,2
828,635,2
828,636,2
829,637,2
829,638,2
1181,639,2
1181,640,2
1181,641,2
1180,642,2
1180,643,2
1179,644,2
1179,645,2
833,646,2
833,647,2
834,648,2
834,649,2
634,650,2
634,651,2
634,652,2
1335,652,2
1336,653,2
1336,654,2
1337,655,2
1172,656,2
1171,657,2
1170,658,2
1169,659,2
843,660,2
843,661,2
633,662,2
1340,662,2
1166,663,2
846,664,2
847,665,2
846,666,2
633,667,2
1343,667,2
1161,668,2
851,669,2
849,670,2
